Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 Golden Age Hotel, GO_P1_R18,Unknown Author,N/A,Positive,Location was perfect to move to most of the tourist destinations as access to metro is easy.
 Golden Age Hotel, GO_P1_R18,Unknown Author,N/A,Negative,"Things like towel and other basic necessities ( water, tea ) were not kept everyday until asked to do so."
 Golden Age Hotel, GO_P1_R19,Unknown Author,N/A,Positive,"Location was good. 
Hotel was cleaned organized and most things worked inside the room."
 Golden Age Hotel, GO_P1_R19,Unknown Author,N/A,Negative,"The AC went off 2 times for maybe 30 min. After complaining, it may have started again after 1 hour. The basin clogs up. Needs to be extensively cleaned well."
 Golden Age Hotel, GO_P1_R20,Unknown Author,N/A,Positive,The location is amazing and staff are so friendly
 Golden Age Hotel, GO_P1_R20,Unknown Author,N/A,Negative,The window was not shut properly and there a lot of noises every night and I couldn’t sleep at all
 Golden Age Hotel, GO_P1_R21,Unknown Author,N/A,Positive,The location
 Golden Age Hotel, GO_P1_R21,Unknown Author,N/A,Negative,The smell of the Bathroom detergents
 Golden Age Hotel, GO_P1_R22,Unknown Author,N/A,Negative,"Not really about this hotel.
However, I want to say the fellow guests (aka students) were staying right next to me and being absolute idiots.
Partying inside the room playing loud music, shouting. I’m a frequent traveler stayed all kinds and quality of accommodations.
Not a once in my experience I was annoyed to this point."
 Golden Age Hotel, GO_P1_R23,Unknown Author,N/A,Positive,"Location 
Price
Breakfast"
 Golden Age Hotel, GO_P1_R23,Unknown Author,N/A,Negative,The staff not wearing gloves when changing the breakfast food
 Golden Age Hotel, GO_P1_R24,Unknown Author,N/A,Negative,Pool in not heated as mentioned in the Booking.com
 Golden Age Hotel, GO_P2_R1,Unknown Author,N/A,Positive,"All rooms doors are very noisy 
Of neighbour is closing it looks like your door is closing"
 Golden Age Hotel, GO_P2_R1,Unknown Author,N/A,Negative,Noise in the neighbour rooms was very audible
 Golden Age Hotel, GO_P2_R2,Unknown Author,N/A,Positive,"Excellent position,near taksim square,staff very friendly and helpfull,very good breakfast"
 Golden Age Hotel, GO_P2_R2,Unknown Author,N/A,Negative,"The room , thin wall,smoke smell,food smell...not an european4*hotel..."
 Golden Age Hotel, GO_P2_R3,Unknown Author,N/A,Positive,"Location is very good, the staff are supportive especially Kinan"
 Golden Age Hotel, GO_P2_R4,Unknown Author,N/A,Positive,"A great location for easy traveling to and from the airports. The hotel has plenty of offers to make the stay more enjoyable, and a very good breakfast."
