Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 The Marmara Pera, TH_P3_R3,Unknown Author,N/A,Positive,"Big and comfortable bedroom, friendly staff"
 The Marmara Pera, TH_P3_R3,Unknown Author,N/A,Negative,"Pool a bit small; too noisy at night, bathroom a bit old fashion and bathtube was too small"
 The Marmara Pera, TH_P3_R4,Unknown Author,N/A,Positive,"The rooftop terrace
Professional staff
Breakfast"
 The Marmara Pera, TH_P3_R4,Unknown Author,N/A,Negative,"The pool area wasn't very inviting to spend time. We actually booked it for that.
The rooms need renovation."
 The Marmara Pera, TH_P3_R5,Unknown Author,N/A,Positive,"Great location, great service, great staff. beautiful hotel. Amazing rooftop sunset bar and rooftop pool. Beautiful restaurant (Mikla my fav!)."
 The Marmara Pera, TH_P3_R5,Unknown Author,N/A,Negative,The only thing is the building is a bit old. It would be so much better if they renovated the bathrooms.
 The Marmara Pera, TH_P3_R6,Unknown Author,N/A,Positive,"We reserved our room on reference from friend and we were happy that we followed his advise. Hotel is minutes away from Istiklal and tower of Galatas. Very nice rooftop bar, must go there for the night view"
 The Marmara Pera, TH_P3_R6,Unknown Author,N/A,Negative,Was a bit noisy from neighbouring bars
 The Marmara Pera, TH_P3_R7,Unknown Author,N/A,Positive,"Perfect location, great staff and breath taking view 👌"
 The Marmara Pera, TH_P3_R8,Unknown Author,N/A,Positive,"The location, the breakfast, the comfort."
 The Marmara Pera, TH_P3_R8,Unknown Author,N/A,Negative,Requested a taxi to the airport and it was a ridiculously high price.
